Country/Region,Deaths
UK,112182
France,104093
Brazil,97058
Iran,72484
India,70284
Poland,68068
Argentina,64252
US,61939
South Africa,54417
Indonesia,45796
Turkey,40844
Mexico,34008
Italy,32945
Czech Republic,29343
Romania,28282
Hungary,27802
Peru,27188
Spain,27104
Belgium,24291
Ecuador,18740
Russia,18428
Philippines,17431
Portugal,16977
Bulgaria,16492
Colombia,15766
Germany,15593
Iraq,15536
Chile,14224
Egypt,13469
Bolivia,13009
Slovakia,11766
Bangladesh,11579
Canada,10942
Tunisia,10868
Switzerland,10634
Greece,10453
Austria,10245
Morocco,9028
Jordan,8897
Pakistan,8572
Bosnia and Herzegovina,8551
Guatemala,7558
Lebanon,7324
Croatia,7182
Saudi Arabia,6979
Paraguay,6572
Serbia,6409
Israel,6366
Panama,6238
Netherlands,6137
Moldova,5838
Honduras,5318
North Macedonia,4936
Ireland,4906
Ukraine,4643
Sweden,4562
Azerbaijan,4561
Mainland China,4512
Slovenia,4263
Georgia,4151
Armenia,4139
Lithuania,3950
Ethiopia,3726
Dominican Republic,3493
Kazakhstan,3349
Nepal,3325
West Bank and Gaza,3272
Algeria,3270
Costa Rica,3231
Burma,3209
Libya,3039
Kenya,2763
Uruguay,2724
Afghanistan,2637
Belarus,2562
Denmark,2490
Albania,2397
Sudan,2349
Venezuela,2172
Latvia,2144
Kosovo,2134
El Salvador,2132
Nigeria,2063
Oman,2043
Japan,1882
South Korea,1834
Kyrgyzstan,1619
Syria,1603
United Arab Emirates,1593
Kuwait,1578
Zimbabwe,1570
Malaysia,1533
Montenegro,1505
Zambia,1253
Yemen,1233
Estonia,1168
Malawi,1148
Senegal,1110
Cameroon,1107
Finland,914
Australia,820
Mozambique,815
Luxembourg,796
Jamaica,784
Ghana,779
Congo (Kinshasa),768
Norway,756
Somalia,713
Botswana,712
Sri Lanka,696
Eswatini,671
Madagascar,666
Cuba,664
Uzbekistan,652
Bahrain,651
Namibia,643
Angola,602
Mali,489
Qatar,472
Mauritania,455
Malta,416
Uganda,342
Rwanda,337
Belize,323
Lesotho,318
Cyprus,313
Guyana,299
Ivory Coast,286
Haiti,254
Thailand,245
Cabo Verde,223
Hong Kong,210
Bahamas,209
Suriname,207
Niger,191
Nicaragua,182
Gambia,175
Trinidad and Tobago,174
Chad,170
Burkina Faso,157
Djibouti,146
Comoros,146
Guinea,145
Congo (Brazzaville),144
Gabon,139
Andorra,127
Togo,123
Mongolia,119
South Sudan,115
Papua New Guinea,115
Equatorial Guinea,112
Cambodia,103
Benin,99
San Marino,90
Tajikistan,90
Central African Republic,88
Liberia,85
Sierra Leone,79
Maldives,74
Saint Lucia,74
Guinea-Bissau,67
Liechtenstein,57
Barbados,44
Sao Tome and Principe,35
Vietnam,35
Monaco,32
Antigua and Barbuda,32
Singapore,31
Iceland,29
Seychelles,28
New Zealand,26
Tanzania,21
Mauritius,17
Diamond Princess,13
Taiwan,12
Saint Vincent and the Grenadines,11
Eritrea,10
Others,8
Burundi,6
Timor-Leste,4
Brunei,3
Fiji,2
MS Zaandam,2
Martinique,1
Bhutan,1
Grenada,1
Vanuatu,1
North Ireland,0
Kiribati,0
Jersey,0
('St. Martin'-),0
Dominica,0
occupied Palestinian territory,0
Macau,0
Reunion,0
East Timor,0
Guernsey,0
The Gambia,0
China,0
Curacao,0
Marshall Islands,0
Puerto Rico,0
Cayman Islands,0
Guadeloupe,0
Laos,0
Cape Verde,0
Saint Barthelemy,0
Channel Islands,0
Holy See,0
Saint Kitts and Nevis,0
Gambia- The,0
Gibraltar,0
Palestine,0
Aruba,0
Bahamas- The,0
Azerbaijan,0
The Bahamas,0
Guam,0
Republic of the Congo,0
French Guiana,0
Mayotte,0
Faroe Islands,0
Samoa,0
Republic of Ireland,0
St. Martin,0
Greenland,0
Solomon Islands,0
Micronesia,0
Vatican City,0
